longitude,latitude,street,city,prob,hour,minute,day,month,year,weekday
-46.631933,-23.482366,R. Voluntários da Pátria,São Paulo,0.36,13,45,21,6,2021,0
-46.654609,-23.517304,Pista Expressa Marg. Tietê,São Paulo,0.65,13,45,21,6,2021,0
-46.427572,-23.535285,Av. José Pinheiro Borges,São Paulo,0.63,13,45,21,6,2021,0
-46.637035,-23.60405,R. Luís Góis,São Paulo,0.69,13,45,21,6,2021,0
-46.657812,-23.581361,R. Abílio Soares,São Paulo,0.54,13,45,21,6,2021,0
-46.725813,-23.485523,R. Agarum,São Paulo,0.6,13,45,21,6,2021,0
-46.446029,-23.563087,Av. Jacu-Pêssego,São Paulo,0.59,13,45,21,6,2021,0
-46.736464,-23.630233,Av. Giovanni Gronchi,São Paulo,0.43,13,45,21,6,2021,0
-46.463975,-23.539894,R. Piava,São Paulo,0.45,13,45,21,6,2021,0
-46.740146,-23.635585,R. Alexandre Archipenko,São Paulo,0.4,13,45,21,6,2021,0
-46.467719,-23.516354,Av. Augusto Antunes,São Paulo,0.37,13,45,21,6,2021,0
-46.766758,-23.639316,Est. do Campo Limpo,São Paulo,0.56,13,45,21,6,2021,0
